;name;canton_x;url;firstmention;hab_year;raw_hab_year;notes;place;zipcode;zusatzziffer;commune;bfsnr;canton_y;X;Y;language
342;Comano;TI;/Articles/002161/?language=de;1159;[{'year': 1643, 'pop': 595, 'unit': 'Einw'}, {'year': 1670, 'pop': 323, 'unit': 'Einw'}, {'year': 1808, 'pop': 246, 'unit': 'Einw'}, {'year': 1850, 'pop': 334, 'unit': 'Einw'}, {'year': 1900, 'pop': 405, 'unit': 'Einw'}, {'year': 1910, 'pop': 458, 'unit': 'Einw'}, {'year': 1950, 'pop': 441, 'unit': 'Einw'}, {'year': 2000, 'pop': 1594, 'unit': 'Einw'}];[{'year': 1643, 'pop': 595, 'unit': 'Einw'}, {'year': 1670, 'pop': 323, 'unit': 'Einw'}, {'year': 1808, 'pop': 246, 'unit': 'Einw'}, {'year': 1850, 'pop': 334, 'unit': 'Einw'}, {'year': 1900, 'pop': 405, 'unit': 'Einw'}, {'year': 1910, 'pop': 458, 'unit': 'Einw'}, {'year': 1950, 'pop': 441, 'unit': 'Einw'}, {'year': 2000, 'pop': 1594, 'unit': 'Einw'}];;Comano;[6949];0;Comano;5176;TI;8.957;46.04;it
343;Confignon;GE;/Articles/002900/?language=de;1153;[{'year': 1860, 'pop': 334, 'unit': 'Einw'}, {'year': 1900, 'pop': 282, 'unit': 'Einw'}, {'year': 1950, 'pop': 541, 'unit': 'Einw'}, {'year': 1970, 'pop': 1635, 'unit': 'Einw'}, {'year': 2000, 'pop': 3033, 'unit': 'Einw'}];[{'year': 1860, 'pop': 334, 'unit': 'Einw'}, {'year': 1900, 'pop': 282, 'unit': 'Einw'}, {'year': 1950, 'pop': 541, 'unit': 'Einw'}, {'year': 1970, 'pop': 1635, 'unit': 'Einw'}, {'year': 2000, 'pop': 3033, 'unit': 'Einw'}];;Confignon;[1232];0;Confignon;6618;GE;6.084;46.174;fr
344;Conters im Prättigau;GR;/Articles/001576/?language=de;1290;[{'year': 1850, 'pop': 195, 'unit': 'Einw'}, {'year': 1900, 'pop': 184, 'unit': 'Einw'}, {'year': 1941, 'pop': 234, 'unit': 'Einw'}, {'year': 1950, 'pop': 219, 'unit': 'Einw'}, {'year': 1980, 'pop': 179, 'unit': 'Einw'}, {'year': 1990, 'pop': 201, 'unit': 'Einw'}, {'year': 2000, 'pop': 194, 'unit': 'Einw'}];[{'year': 1850, 'pop': 195, 'unit': 'Einw'}, {'year': 1900, 'pop': 184, 'unit': 'Einw'}, {'year': 1941, 'pop': 234, 'unit': 'Einw'}, {'year': 1950, 'pop': 219, 'unit': 'Einw'}, {'year': 1980, 'pop': 179, 'unit': 'Einw'}, {'year': 1990, 'pop': 201, 'unit': 'Einw'}, {'year': 2000, 'pop': 194, 'unit': 'Einw'}];;Conters im Prättigau;[7241];0;Conters im Prättigau;3881;GR;9.799;46.903;de
345;Conthey;VS;/Articles/002672/?language=de;1146;[{'year': 1850, 'pop': 2488, 'unit': 'Einw'}, {'year': 1900, 'pop': 2920, 'unit': 'Einw'}, {'year': 1950, 'pop': 3485, 'unit': 'Einw'}, {'year': 1980, 'pop': 4828, 'unit': 'Einw'}, {'year': 1990, 'pop': 5853, 'unit': 'Einw'}, {'year': 2000, 'pop': 6261, 'unit': 'Einw'}];[{'year': 1850, 'pop': 2488, 'unit': 'Einw'}, {'year': 1900, 'pop': 2920, 'unit': 'Einw'}, {'year': 1950, 'pop': 3485, 'unit': 'Einw'}, {'year': 1980, 'pop': 4828, 'unit': 'Einw'}, {'year': 1990, 'pop': 5853, 'unit': 'Einw'}, {'year': 2000, 'pop': 6261, 'unit': 'Einw'}];"undefined
weird post-1850 units:  Bew
weird post-1850 units:  Bew
weird post-1850 units:  Bew
weird post-1850 units:  Bew
weird post-1850 units:  Bew
weird post-1850 units:  Bew";Conthey;[1964];0;Conthey;6023;VS;7.305;46.227;fr
346;Corban;JU;/Articles/002932/?language=de;1184;[{'year': 1818, 'pop': 314, 'unit': 'Einw'}, {'year': 1850, 'pop': 392, 'unit': 'Einw'}, {'year': 1900, 'pop': 389, 'unit': 'Einw'}, {'year': 1910, 'pop': 375, 'unit': 'Einw'}, {'year': 1950, 'pop': 457, 'unit': 'Einw'}, {'year': 1980, 'pop': 402, 'unit': 'Einw'}, {'year': 2000, 'pop': 452, 'unit': 'Einw'}];[{'year': 1818, 'pop': 314, 'unit': 'Einw'}, {'year': 1850, 'pop': 392, 'unit': 'Einw'}, {'year': 1900, 'pop': 389, 'unit': 'Einw'}, {'year': 1910, 'pop': 375, 'unit': 'Einw'}, {'year': 1950, 'pop': 457, 'unit': 'Einw'}, {'year': 1980, 'pop': 402, 'unit': 'Einw'}, {'year': 2000, 'pop': 452, 'unit': 'Einw'}];;Corban;[2826];0;Val Terbi;6730;JU;7.478;47.348;fr
347;Corbières;FR;/Articles/000899/?language=de;1115;[{'year': 1811, 'pop': 194, 'unit': 'Einw'}, {'year': 1850, 'pop': 231, 'unit': 'Einw'}, {'year': 1860, 'pop': 219, 'unit': 'Einw'}, {'year': 1900, 'pop': 220, 'unit': 'Einw'}, {'year': 1950, 'pop': 283, 'unit': 'Einw'}, {'year': 2000, 'pop': 341, 'unit': 'Einw'}];[{'year': 1811, 'pop': 194, 'unit': 'Einw'}, {'year': 1850, 'pop': 231, 'unit': 'Einw'}, {'year': 1860, 'pop': 219, 'unit': 'Einw'}, {'year': 1900, 'pop': 220, 'unit': 'Einw'}, {'year': 1950, 'pop': 283, 'unit': 'Einw'}, {'year': 2000, 'pop': 341, 'unit': 'Einw'}];;Corbières;[1647];0;Corbières;2129;FR;7.101;46.661;fr
348;Corcelles (BE);BE;/Articles/000406/?language=de;1181;[{'year': 1745, 'pop': 90, 'unit': 'Einw'}, {'year': 1850, 'pop': 180, 'unit': 'Einw'}, {'year': 1900, 'pop': 187, 'unit': 'Einw'}, {'year': 1950, 'pop': 198, 'unit': 'Einw'}, {'year': 2000, 'pop': 209, 'unit': 'Einw'}];[{'year': 1745, 'pop': 90, 'unit': 'Einw'}, {'year': 1850, 'pop': 180, 'unit': 'Einw'}, {'year': 1900, 'pop': 187, 'unit': 'Einw'}, {'year': 1950, 'pop': 198, 'unit': 'Einw'}, {'year': 2000, 'pop': 209, 'unit': 'Einw'}];;Corcelles BE;[2747];0;Corcelles (BE);687;BE;7.46;47.285;fr
349;Corcelles-Cormondrèche;NE;/Articles/002829/?language=de;1092;[{'year': 1750, 'pop': 562, 'unit': 'Einw'}, {'year': 1850, 'pop': 823, 'unit': 'Einw'}, {'year': 1900, 'pop': 1460, 'unit': 'Einw'}, {'year': 1950, 'pop': 2243, 'unit': 'Einw'}, {'year': 1990, 'pop': 3336, 'unit': 'Einw'}, {'year': 2000, 'pop': 3914, 'unit': 'Einw'}];[{'year': 1750, 'pop': 562, 'unit': 'Einw'}, {'year': 1850, 'pop': 823, 'unit': 'Einw'}, {'year': 1900, 'pop': 1460, 'unit': 'Einw'}, {'year': 1950, 'pop': 2243, 'unit': 'Einw'}, {'year': 1990, 'pop': 3336, 'unit': 'Einw'}, {'year': 2000, 'pop': 3914, 'unit': 'Einw'}];;Cormondrèche;[2036];0;Corcelles-Cormondrèche;6407;NE;6.87;46.981;fr
350;Corgémont;BE;/Articles/000262/?language=de;1178;[{'year': 1801, 'pop': 342, 'unit': 'Einw'}, {'year': 1850, 'pop': 753, 'unit': 'Einw'}, {'year': 1900, 'pop': 1418, 'unit': 'Einw'}, {'year': 1950, 'pop': 1285, 'unit': 'Einw'}, {'year': 1970, 'pop': 1645, 'unit': 'Einw'}, {'year': 2000, 'pop': 1493, 'unit': 'Einw'}];[{'year': 1801, 'pop': 342, 'unit': 'Einw'}, {'year': 1850, 'pop': 753, 'unit': 'Einw'}, {'year': 1900, 'pop': 1418, 'unit': 'Einw'}, {'year': 1950, 'pop': 1285, 'unit': 'Einw'}, {'year': 1970, 'pop': 1645, 'unit': 'Einw'}, {'year': 2000, 'pop': 1493, 'unit': 'Einw'}];;Corgémont;[2606];0;Corgémont;431;BE;7.141;47.193999999999996;fr
351;Corippo;TI;/Articles/002097/?language=de;1224;[{'year': 1669, 'pop': 205, 'unit': 'Einw', 'original_unit': 'Haushalte', 'einw_conversion_factor': 5}, {'year': 1795, 'pop': 269, 'unit': 'Einw'}, {'year': 1850, 'pop': 294, 'unit': 'Einw'}, {'year': 1900, 'pop': 196, 'unit': 'Einw'}, {'year': 1950, 'pop': 73, 'unit': 'Einw'}, {'year': 2000, 'pop': 22, 'unit': 'Einw'}];[{'year': 1669, 'pop': 41, 'unit': 'Haushalte'}, {'year': 1795, 'pop': 269, 'unit': 'Einw'}, {'year': 1850, 'pop': 294, 'unit': 'Einw'}, {'year': 1900, 'pop': 196, 'unit': 'Einw'}, {'year': 1950, 'pop': 73, 'unit': 'Einw'}, {'year': 2000, 'pop': 22, 'unit': 'Einw'}];;Corippo;[6631];0;Corippo;5102;TI;8.841000000000001;46.236000000000004;it
