year;data_pop;ygr;gr;duration
1177;74.0;1.0012185441526111;1.0284054065045198;23
1200;76.10200008133428;1.0012185441526111;1.011020504232137;9
1209;76.94068249530469;1.0012185441526111;1.012252477355739;10
1219;77.8833964653134;1.0012185441526111;1.0221624599778045;18
1237;370.60948412241123;1.0009280685191946;1.0121323021683528;13
1250;1775.1065050066236;1.0012821211336682;1.0233314151961042;18
1268;2517.9153740878082;1.003367796700188;1.0101374544621393;3
1271;2548.548725353356;1.0034181904249841;1.0172081924480347;5
1276;2893.7750704584255;1.0030912618794396;1.0061920796588866;2
1278;4491.735150767118;1.0026155599037279;1.0131463902233393;5
1283;4699.671825566384;1.002672284338338;1.0464131225363462;17
1300;9080.805895988191;1.003305321501721;1.0066215681536717;2
1302;9501.051788004926;1.0031921438927287;1.025824293868464;8
1310;9818.946261555964;1.0032441701073445;1.009764118384811;3
1313;12981.204449905024;1.0040036589201036;1.0660184674868471;16
1329;14764.083655613578;1.0032459545174464;1.0032459545174464;1
1330;14930.007199651473;1.0031977684249058;1.0193406519532895;6
1336;15346.049348641558;1.0034661754880119;1.0034661754880119;1
1337;15715.241448731631;1.0033894102382641;1.0033894102382641;1
1338;15768.506848994759;1.002700245250933;1.002700245250933;1
1339;16379.085684728067;0.9983172806476511;0.9983172806476511;1
1340;16690.52428027259;0.9985259684414408;0.9955844204286992;3
1343;16629.733368736248;0.998934605806396;0.9925660347251793;7
1350;17943.852652894002;1.0002130933552302;1.0004262321192385;2
1352;18220.250732830966;1.0004068204116257;1.0004068204116257;1
1353;19327.663102734008;1.0005899338232218;1.0005899338232218;1
1354;19497.065144922155;1.0006849782687712;1.0006849782687712;1
1355;19930.420210851244;1.0005792708000054;1.0005792708000054;1
1356;20153.96532131123;1.0013385425098096;1.0040210050158418;3
1359;20237.497952991183;1.0014872809619213;1.0044684821896155;3
1362;20330.33947385863;1.0016053052314875;1.0032131874678611;2
1364;20396.450904861562;1.0016358954178497;1.0065596561131005;4
1368;20534.85130356916;1.0017559143905754;1.0123563384957943;7
1375;20977.280481520997;1.00199748098306;1.006004420709823;3
1378;21105.37931074649;1.0020985909992597;1.0020985909992597;1
1379;21149.670869803973;1.0013003694222293;1.0013003694222293;1
1380;22577.173255093283;1.0010392026469568;1.002079485236055;2
1382;23414.773461869387;1.0008857815805101;1.0062169721990317;7
1389;23609.426999493568;1.0010899373858695;1.0032733773429297;3
1392;27688.657621999315;1.0008519919209657;1.00255815405205;3
1395;28600.457810399836;0.9999153627892804;0.9999153627892804;1
1396;28830.03714742545;0.9999441779964574;0.9997767306817104;4
1400;34359.94685611691;1.0004134683799724;1.0004134683799724;1
1401;34463.15360767946;1.0004696595958738;1.0004696595958738;1
1402;34844.33955847537;1.000816847632534;1.000816847632534;1
1403;34981.802074750914;1.0005723321563118;1.0005723321563118;1
1404;35149.82328496404;1.0006017198376413;1.0012038017420457;2
1406;35307.26544003302;1.0006676304940911;1.0006676304940911;1
1407;35330.83764710377;1.001243388309373;1.001243388309373;1
1408;35374.76759759453;1.0012547105137446;1.0012547105137446;1
1409;35690.15269042051;1.0012580666183635;1.0025177159683432;2
1411;35780.41210189056;1.0012805354760426;1.0012805354760426;1
1412;37249.23018893446;1.0010344729550227;1.0010344729550227;1
1413;37591.76351016032;1.0010463986289968;1.0010463986289968;1
1414;38016.09947995893;1.0010612614316683;1.002123649139163;2
1416;52615.37640462176;1.000309666176261;1.000309666176261;1
1417;54280.6696070455;1.0001316241624285;1.0003949244643264;3
1420;54498.83127698251;1.0002069932450735;1.0004140293363504;2
1422;54522.61121452703;1.000337726636292;1.0010135221252396;3
1425;54681.33012701063;1.0004332697432998;1.0013003724792453;3
1428;55763.81423770069;1.000450371492399;1.000450371492399;1
1429;55857.92866994079;1.0004712108767337;1.0004712108767337;1
1430;55899.24953348189;1.0004946539955226;1.0009895526736206;2
1432;56457.657213340404;1.0005566579300575;1.0005566579300575;1
1433;56592.08481594069;1.0005796191087286;1.0011595741757684;2
1435;56658.78470841682;1.0006175312157888;1.0006175312157888;1
1436;56885.77327662293;1.0006422293271617;1.0006422293271617;1
1437;56957.306988519456;1.0006647413078438;1.0039950819398187;6
1443;57380.5477104609;1.000718176975575;1.000718176975575;1
1444;58216.75709867243;1.0007682632620076;1.0007682632620076;1
1445;58457.482894384564;1.0007300192389794;1.0036554293676878;5
1450;61397.36750122292;1.0002047113241912;1.0004094645551087;2
1452;61472.36488385241;1.0003635244511997;1.0003635244511997;1
1453;65152.71159156075;1.0005968203098736;1.0005968203098736;1
1454;65498.596053081936;1.000639058159715;1.0012785247147618;2
1456;67907.66763343147;1.0008100278925582;1.0024320526447308;3
1459;68715.98225131043;1.0008589087157838;1.0008589087157838;1
1460;69161.00300737974;1.0008815225815875;1.0026468996759634;3
1463;69730.26433448006;1.000916964648363;1.000916964648363;1
1464;69927.20452179578;1.0009403241188048;1.0009403241188048;1
1465;70277.95875876823;1.0009571248415803;1.001915165771123;2
1467;83757.96945256142;1.0011988716786862;1.0011988716786862;1
1468;85419.38451000235;1.0013503118439138;1.0027024470299033;2
1470;87027.09462342273;1.0017894479553198;1.0071770274955782;4
1474;87775.19248496028;1.0018450667585985;1.0036935377885408;2
1476;88154.15199846424;1.0018983632805405;1.0076151031991771;4
1480;88830.18118608554;1.0020603239809733;1.0020603239809733;1
1481;89406.20013861742;1.0020545439566069;1.0020545439566069;1
1482;89589.8891067954;1.0020659982951914;1.0020659982951914;1
1483;89774.9816649564;1.0020940306428272;1.008402469105534;4
1487;90589.42238075014;1.0021358759087853;1.0021358759087853;1
1488;91508.91014560394;1.0021331319494804;1.0021331319494804;1
1489;91704.11072549764;1.002142580861931;1.004289752376612;2
1491;92098.36948561024;1.0021615595950573;1.013039644987155;6
1497;94888.66038572538;1.002295439558159;1.004596148159083;2
1499;95325.72648854172;1.0023238985565848;1.0023238985565848;1
1500;99630.25380673385;1.0022829413559557;1.0045710945331463;2
1502;100086.64191331624;1.0023014279928861;1.0185604125149195;8
1510;102472.24995643423;1.0023816741717748;1.00476902071541;2
1512;102961.96412007118;1.0024077926836634;1.0120970778334788;5
1517;104217.99471230773;1.0024616824070423;1.0024616824070423;1
1518;105275.54631638824;1.002478273560062;1.0049626889599623;2
1520;105799.06375011221;1.0029937774882844;1.0120289935847258;4
1524;107139.60311874216;1.0030502820781881;1.0122570672458515;4
1528;108461.97785333652;1.0030806784549244;1.0030806784549244;1
1529;109443.11433168779;1.003139670475446;1.003139670475446;1
1530;110224.72964649586;1.0031863402394958;1.0031863402394958;1
1531;113225.94313795608;1.003223792372818;1.003223792372818;1
1532;113590.96006984939;1.0032429285022977;1.0097603693672401;3
1535;116204.5384511807;1.0033136710202193;1.0033136710202193;1
1536;116604.60206266437;1.0033286006153785;1.013381027594626;4
1540;118175.11206246157;1.0033043288993975;1.0099457785452293;3
1543;119575.63619154328;1.0033545024402075;1.0237191490920001;7
1550;127018.03505306544;1.003069155233985;1.012333254950029;4
1554;130785.81552864771;1.0030691935136784;1.0030691935136784;1
1555;131451.22250534935;1.0030792058218605;1.0061678931522144;2
1557;132313.278018918;1.0030990974262577;1.0030990974262577;1
1558;134417.32975828613;1.0031071861345995;1.0031071861345995;1
1559;135012.98942156092;1.0031188324280504;1.0031188324280504;1
1560;136084.07231117692;1.0030785068131758;1.0061664908305503;2
1562;136973.5523775102;1.0030953388591854;1.0062002588410242;2
1564;137824.15925535938;1.0031139966278424;1.006237690230683;2
1566;138685.2131677704;1.0031352167678127;1.0031352167678127;1
1567;145314.02137354173;1.0028994540214955;1.0028994540214955;1
1568;146041.35269719287;1.0029165893988323;1.005841685291386;2
1570;147284.0999285649;1.0029472079055215;1.0029472079055215;1
1571;148260.17679223197;1.0029519984777728;1.0088821640429424;3
1574;153707.4643323744;1.00301242744709;1.0121042675331862;4
1578;157595.55255091804;1.0030003922415522;1.0030003922415522;1
1579;158249.401024095;1.0030084142907905;1.0030084142907905;1
1580;159555.48078364495;1.0030292134529861;1.0030292134529861;1
1581;160260.8083925324;1.003040861284967;1.003040861284967;1
1582;160748.13928027076;1.0027619080927506;1.0027619080927506;1
1583;161690.11086704358;1.0026097962184963;1.0026097962184963;1
1584;162112.08910695263;1.0025701932660958;1.0025701932660958;1
1585;163786.74850672798;1.002603514334511;1.002603514334511;1
1586;165225.1696542682;1.0026265418323173;1.0052599823866315;2
1588;166348.72997397813;1.002663737816709;1.002663737816709;1
1589;166791.83937677127;1.002681992552409;1.002681992552409;1
1590;167540.17384778234;1.0027229860215257;1.0027229860215257;1
1591;197440.38339921378;1.0017245384672726;1.0086524839981954;5
1596;201269.98116932533;1.001928420370107;1.001928420370107;1
1597;203068.11430090334;1.0023454342296336;1.0023454342296336;1
1598;203584.39720713178;1.0023615021311107;1.0023615021311107;1
1599;206663.16219499728;1.0023423638888105;1.0023423638888105;1
1600;212085.24252327014;1.0019467164599705;1.0019467164599705;1
1601;212498.11235580704;1.0019826832995489;1.0019826832995489;1
1602;216742.42881436052;1.0019293018880244;1.0019293018880244;1
1603;217160.5903914871;1.0019564783103116;1.0117964369729466;6
